home,away,home_goals,away_goals,date,league
club brugge,oud-heverlee leuven,1,0,2025-02-08,Belgian Pro League
dender,st truiden,2,1,2025-02-08,Belgian Pro League
genk,cercle brugge,2,1,2025-02-08,Belgian Pro League
anderlecht,antwerp,2,0,2025-02-09,Belgian Pro League
kortrijk,st. gilloise,1,2,2025-02-09,Belgian Pro League
westerlo,standard,4,2,2025-02-09,Belgian Pro League
beerschot va,charleroi,1,1,2025-02-09,Belgian Pro League
standard,genk,1,2,2025-02-14,Belgian Pro League
oud-heverlee leuven,dender,3,2,2025-02-15,Belgian Pro League
antwerp,kortrijk,2,1,2025-02-15,Belgian Pro League
st truiden,club brugge,2,2,2025-02-15,Belgian Pro League
gent,beerschot va,3,2,2025-02-16,Belgian Pro League
st. gilloise,mechelen,0,1,2025-02-16,Belgian Pro League
charleroi,anderlecht,0,1,2025-02-16,Belgian Pro League
cercle brugge,westerlo,1,1,2025-02-16,Belgian Pro League
mechelen,st truiden,1,1,2025-02-21,Belgian Pro League
dender,beerschot va,0,0,2025-02-22,Belgian Pro League
westerlo,charleroi,1,3,2025-02-22,Belgian Pro League
antwerp,oud-heverlee leuven,2,2,2025-02-22,Belgian Pro League
club brugge,standard,1,2,2025-02-23,Belgian Pro League
genk,gent,0,0,2025-02-23,Belgian Pro League
anderlecht,st. gilloise,0,2,2025-02-23,Belgian Pro League
kortrijk,cercle brugge,1,1,2025-02-23,Belgian Pro League
charleroi,genk,1,1,2025-02-28,Belgian Pro League
cercle brugge,antwerp,0,0,2025-03-01,Belgian Pro League
gent,club brugge,1,1,2025-03-01,Belgian Pro League
st truiden,kortrijk,4,2,2025-03-01,Belgian Pro League
st. gilloise,dender,4,1,2025-03-01,Belgian Pro League
beerschot va,mechelen,1,0,2025-03-02,Belgian Pro League
standard,anderlecht,0,2,2025-03-02,Belgian Pro League
oud-heverlee leuven,westerlo,0,0,2025-03-02,Belgian Pro League
st truiden,beerschot va,2,0,2025-03-07,Belgian Pro League
kortrijk,oud-heverlee leuven,2,0,2025-03-08,Belgian Pro League
charleroi,mechelen,0,1,2025-03-08,Belgian Pro League
dender,genk,0,1,2025-03-08,Belgian Pro League
cercle brugge,club brugge,1,3,2025-03-09,Belgian Pro League
westerlo,anderlecht,2,0,2025-03-09,Belgian Pro League
antwerp,gent,0,1,2025-03-09,Belgian Pro League
st. gilloise,standard,3,0,2025-03-09,Belgian Pro League
genk,st. gilloise,2,1,2025-03-15,Belgian Pro League
standard,antwerp,0,0,2025-03-16,Belgian Pro League
anderlecht,cercle brugge,3,0,2025-03-16,Belgian Pro League
club brugge,charleroi,4,2,2025-03-16,Belgian Pro League
gent,kortrijk,1,2,2025-03-16,Belgian Pro League
mechelen,dender,2,1,2025-03-16,Belgian Pro League
oud-heverlee leuven,st truiden,3,2,2025-03-16,Belgian Pro League
beerschot va,westerlo,1,2,2025-03-16,Belgian Pro League
oud-heverlee leuven,charleroi,0,0,2025-03-28,Belgian Pro League
beerschot va,st truiden,0,1,2025-03-29,Belgian Pro League
standard,mechelen,2,2,2025-03-29,Belgian Pro League
st. gilloise,antwerp,5,1,2025-03-29,Belgian Pro League
club brugge,anderlecht,2,0,2025-03-30,Belgian Pro League
kortrijk,cercle brugge,2,2,2025-03-30,Belgian Pro League
genk,gent,4,0,2025-03-30,Belgian Pro League
dender,westerlo,1,0,2025-03-30,Belgian Pro League
mechelen,dender,5,2,2025-04-04,Belgian Pro League
cercle brugge,beerschot va,2,1,2025-04-05,Belgian Pro League
westerlo,oud-heverlee leuven,2,2,2025-04-05,Belgian Pro League
gent,st. gilloise,0,3,2025-04-05,Belgian Pro League
antwerp,club brugge,2,3,2025-04-06,Belgian Pro League
st truiden,kortrijk,0,3,2025-04-06,Belgian Pro League
anderlecht,genk,1,2,2025-04-06,Belgian Pro League
charleroi,standard,1,0,2025-04-06,Belgian Pro League
westerlo,charleroi,2,2,2025-04-11,Belgian Pro League
kortrijk,beerschot va,3,2,2025-04-12,Belgian Pro League
st truiden,cercle brugge,3,1,2025-04-12,Belgian Pro League
st. gilloise,anderlecht,2,0,2025-04-12,Belgian Pro League
antwerp,gent,0,1,2025-04-13,Belgian Pro League
mechelen,oud-heverlee leuven,1,1,2025-04-13,Belgian Pro League
club brugge,genk,1,0,2025-04-13,Belgian Pro League
dender,standard,1,1,2025-04-13,Belgian Pro League
oud-heverlee leuven,dender,4,4,2025-04-19,Belgian Pro League
charleroi,mechelen,3,0,2025-04-19,Belgian Pro League
standard,westerlo,1,1,2025-04-19,Belgian Pro League
anderlecht,antwerp,0,0,2025-04-20,Belgian Pro League
genk,st. gilloise,1,2,2025-04-20,Belgian Pro League
gent,club brugge,0,5,2025-04-20,Belgian Pro League
dender,charleroi,2,1,2025-04-22,Belgian Pro League
mechelen,westerlo,2,3,2025-04-22,Belgian Pro League
standard,oud-heverlee leuven,0,1,2025-04-22,Belgian Pro League
anderlecht,gent,5,0,2025-04-23,Belgian Pro League
antwerp,genk,1,1,2025-04-23,Belgian Pro League
club brugge,st. gilloise,0,1,2025-04-24,Belgian Pro League
beerschot va,kortrijk,2,0,2025-04-25,Belgian Pro League
oud-heverlee leuven,standard,1,1,2025-04-26,Belgian Pro League
westerlo,mechelen,2,2,2025-04-26,Belgian Pro League
cercle brugge,st truiden,3,1,2025-04-26,Belgian Pro League
charleroi,dender,4,1,2025-04-26,Belgian Pro League
gent,anderlecht,0,1,2025-04-27,Belgian Pro League
genk,antwerp,0,1,2025-04-27,Belgian Pro League
st. gilloise,club brugge,0,0,2025-04-27,Belgian Pro League
antwerp,anderlecht,1,3,2025-05-01,Belgian Pro League
club brugge,gent,4,1,2025-05-01,Belgian Pro League
westerlo,dender,4,2,2025-05-02,Belgian Pro League
cercle brugge,kortrijk,0,2,2025-05-03,Belgian Pro League
oud-heverlee leuven,mechelen,1,2,2025-05-03,Belgian Pro League
st. gilloise,genk,1,0,2025-05-03,Belgian Pro League
standard,charleroi,0,1,2025-05-04,Belgian Pro League
st truiden,beerschot va,2,1,2025-05-04,Belgian Pro League
charleroi,westerlo,4,3,2025-05-09,Belgian Pro League
beerschot va,cercle brugge,4,2,2025-05-10,Belgian Pro League
kortrijk,st truiden,2,2,2025-05-10,Belgian Pro League
mechelen,standard,0,0,2025-05-10,Belgian Pro League
anderlecht,st. gilloise,0,1,2025-05-10,Belgian Pro League
gent,antwerp,0,3,2025-05-11,Belgian Pro League
genk,club brugge,0,2,2025-05-11,Belgian Pro League
dender,oud-heverlee leuven,5,0,2025-05-11,Belgian Pro League
oud-heverlee leuven,westerlo,0,2,2025-05-16,Belgian Pro League
standard,dender,0,0,2025-05-17,Belgian Pro League
antwerp,st. gilloise,0,4,2025-05-17,Belgian Pro League
anderlecht,club brugge,1,3,2025-05-18,Belgian Pro League
mechelen,charleroi,1,1,2025-05-18,Belgian Pro League
gent,genk,1,4,2025-05-18,Belgian Pro League
charleroi,oud-heverlee leuven,2,1,2025-05-24,Belgian Pro League
dender,mechelen,2,2,2025-05-24,Belgian Pro League
westerlo,standard,0,0,2025-05-24,Belgian Pro League
club brugge,antwerp,1,1,2025-05-25,Belgian Pro League
genk,anderlecht,2,1,2025-05-25,Belgian Pro League
st. gilloise,gent,3,1,2025-05-25,Belgian Pro League
st. gilloise,anderlecht,2,0,2023-07-28,Belgian Pro League
eupen,westerlo,2,2,2023-07-29,Belgian Pro League
charleroi,oud-heverlee leuven,1,1,2023-07-29,Belgian Pro League
rwd molenbeek,genk,0,4,2023-07-29,Belgian Pro League
antwerp,cercle brugge,1,0,2023-07-30,Belgian Pro League
gent,kortrijk,3,2,2023-07-30,Belgian Pro League
club brugge,mechelen,1,1,2023-07-30,Belgian Pro League
st truiden,standard,1,0,2023-07-30,Belgian Pro League
standard,st. gilloise,0,1,2023-08-04,Belgian Pro League
genk,eupen,0,1,2023-08-05,Belgian Pro League
cercle brugge,charleroi,2,0,2023-08-05,Belgian Pro League
oud-heverlee leuven,rwd molenbeek,1,2,2023-08-05,Belgian Pro League
anderlecht,antwerp,1,0,2023-08-06,Belgian Pro League
mechelen,gent,0,1,2023-08-06,Belgian Pro League
westerlo,club brugge,0,1,2023-08-06,Belgian Pro League
kortrijk,st truiden,0,1,2023-08-06,Belgian Pro League
antwerp,kortrijk,6,0,2023-08-11,Belgian Pro League
rwd molenbeek,mechelen,1,0,2023-08-12,Belgian Pro League
st. gilloise,oud-heverlee leuven,5,1,2023-08-12,Belgian Pro League
st truiden,anderlecht,0,1,2023-08-13,Belgian Pro League
cercle brugge,genk,0,1,2023-08-13,Belgian Pro League
eupen,club brugge,0,5,2023-08-13,Belgian Pro League
charleroi,standard,1,1,2023-08-13,Belgian Pro League
westerlo,gent,1,3,2023-08-13,Belgian Pro League
oud-heverlee leuven,antwerp,1,1,2023-08-18,Belgian Pro League
standard,cercle brugge,0,1,2023-08-19,Belgian Pro League
mechelen,st. gilloise,4,0,2023-08-19,Belgian Pro League
anderlecht,westerlo,2,1,2023-08-20,Belgian Pro League
genk,charleroi,0,0,2023-08-20,Belgian Pro League
gent,st truiden,2,2,2023-08-20,Belgian Pro League
club brugge,rwd molenbeek,7,1,2023-08-20,Belgian Pro League
kortrijk,eupen,1,3,2023-08-20,Belgian Pro League
westerlo,mechelen,2,3,2023-08-26,Belgian Pro League
eupen,oud-heverlee leuven,3,1,2023-08-26,Belgian Pro League
kortrijk,standard,1,1,2023-08-26,Belgian Pro League
st truiden,cercle brugge,0,2,2023-08-27,Belgian Pro League
anderlecht,charleroi,2,1,2023-08-27,Belgian Pro League
oud-heverlee leuven,kortrijk,3,0,2023-09-01,Belgian Pro League
cercle brugge,westerlo,2,1,2023-09-02,Belgian Pro League
mechelen,eupen,1,0,2023-09-02,Belgian Pro League
standard,rwd molenbeek,1,1,2023-09-02,Belgian Pro League
gent,club brugge,2,1,2023-09-03,Belgian Pro League
st. gilloise,antwerp,2,2,2023-09-03,Belgian Pro League
genk,anderlecht,1,1,2023-09-03,Belgian Pro League
charleroi,st truiden,1,1,2023-09-03,Belgian Pro League
westerlo,antwerp,0,3,2023-09-15,Belgian Pro League
rwd molenbeek,cercle brugge,2,1,2023-09-16,Belgian Pro League
st. gilloise,genk,0,2,2023-09-16,Belgian Pro League
club brugge,charleroi,4,2,2023-09-16,Belgian Pro League
eupen,standard,1,3,2023-09-17,Belgian Pro League
kortrijk,anderlecht,2,2,2023-09-17,Belgian Pro League
oud-heverlee leuven,gent,1,1,2023-09-17,Belgian Pro League
st truiden,mechelen,2,0,2023-09-17,Belgian Pro League
standard,westerlo,0,0,2023-09-22,Belgian Pro League
charleroi,kortrijk,1,0,2023-09-23,Belgian Pro League
mechelen,oud-heverlee leuven,1,2,2023-09-23,Belgian Pro League
antwerp,rwd molenbeek,0,0,2023-09-23,Belgian Pro League
genk,st truiden,3,3,2023-09-24,Belgian Pro League
cercle brugge,st. gilloise,0,2,2023-09-24,Belgian Pro League
anderlecht,club brugge,1,1,2023-09-24,Belgian Pro League
gent,eupen,2,1,2023-09-24,Belgian Pro League
antwerp,gent,0,0,2023-09-27,Belgian Pro League
rwd molenbeek,st. gilloise,2,3,2023-09-28,Belgian Pro League
club brugge,genk,1,1,2023-09-28,Belgian Pro League
kortrijk,cercle brugge,2,1,2023-09-29,Belgian Pro League
eupen,anderlecht,1,3,2023-09-30,Belgian Pro League
oud-heverlee leuven,standard,1,2,2023-09-30,Belgian Pro League
mechelen,antwerp,0,0,2023-09-30,Belgian Pro League
st. gilloise,charleroi,3,1,2023-10-01,Belgian Pro League
genk,westerlo,3,3,2023-10-01,Belgian Pro League
club brugge,st truiden,1,1,2023-10-01,Belgian Pro League
rwd molenbeek,gent,1,1,2023-10-01,Belgian Pro League
charleroi,rwd molenbeek,2,1,2023-10-06,Belgian Pro League
cercle brugge,oud-heverlee leuven,3,2,2023-10-07,Belgian Pro League
westerlo,kortrijk,1,0,2023-10-07,Belgian Pro League
anderlecht,mechelen,3,1,2023-10-07,Belgian Pro League
standard,club brugge,2,1,2023-10-08,Belgian Pro League
antwerp,eupen,4,1,2023-10-08,Belgian Pro League
gent,genk,1,1,2023-10-08,Belgian Pro League
st truiden,st. gilloise,0,4,2023-10-08,Belgian Pro League
st. gilloise,eupen,4,1,2023-10-20,Belgian Pro League
kortrijk,club brugge,1,0,2023-10-21,Belgian Pro League
rwd molenbeek,westerlo,1,1,2023-10-21,Belgian Pro League
charleroi,antwerp,3,2,2023-10-21,Belgian Pro League
genk,mechelen,4,0,2023-10-22,Belgian Pro League
cercle brugge,gent,2,0,2023-10-22,Belgian Pro League
standard,anderlecht,3,2,2023-10-22,Belgian Pro League
oud-heverlee leuven,st truiden,4,0,2023-10-22,Belgian Pro League
st truiden,rwd molenbeek,2,1,2023-10-27,Belgian Pro League
mechelen,cercle brugge,0,2,2023-10-28,Belgian Pro League
eupen,charleroi,2,0,2023-10-28,Belgian Pro League
anderlecht,oud-heverlee leuven,5,1,2023-10-28,Belgian Pro League
club brugge,antwerp,2,1,2023-10-29,Belgian Pro League
westerlo,st. gilloise,1,3,2023-10-29,Belgian Pro League
gent,standard,3,1,2023-10-29,Belgian Pro League
kortrijk,genk,0,3,2023-10-29,Belgian Pro League
st truiden,eupen,1,1,2023-11-03,Belgian Pro League
rwd molenbeek,kortrijk,1,1,2023-11-04,Belgian Pro League
oud-heverlee leuven,westerlo,0,2,2023-11-04,Belgian Pro League
antwerp,genk,3,2,2023-11-04,Belgian Pro League
cercle brugge,anderlecht,0,3,2023-11-05,Belgian Pro League
standard,mechelen,1,1,2023-11-05,Belgian Pro League
st. gilloise,club brugge,2,1,2023-11-05,Belgian Pro League
charleroi,gent,1,3,2023-11-05,Belgian Pro League
westerlo,st truiden,3,3,2023-11-10,Belgian Pro League
antwerp,standard,6,0,2023-11-11,Belgian Pro League
eupen,rwd molenbeek,1,3,2023-11-11,Belgian Pro League
mechelen,charleroi,1,0,2023-11-11,Belgian Pro League
club brugge,cercle brugge,0,0,2023-11-12,Belgian Pro League
genk,oud-heverlee leuven,3,1,2023-11-12,Belgian Pro League
gent,anderlecht,1,1,2023-11-12,Belgian Pro League
st. gilloise,kortrijk,3,0,2023-11-12,Belgian Pro League
st truiden,antwerp,1,1,2023-11-24,Belgian Pro League
cercle brugge,eupen,2,0,2023-11-25,Belgian Pro League
charleroi,westerlo,3,2,2023-11-25,Belgian Pro League
standard,genk,1,0,2023-11-25,Belgian Pro League
gent,st. gilloise,1,1,2023-11-26,Belgian Pro League
oud-heverlee leuven,club brugge,0,1,2023-11-26,Belgian Pro League
anderlecht,rwd molenbeek,2,1,2023-11-26,Belgian Pro League
kortrijk,mechelen,0,3,2023-11-26,Belgian Pro League
westerlo,anderlecht,1,3,2023-12-01,Belgian Pro League
rwd molenbeek,charleroi,0,0,2023-12-02,Belgian Pro League
eupen,kortrijk,1,1,2023-12-02,Belgian Pro League
antwerp,oud-heverlee leuven,1,0,2023-12-02,Belgian Pro League
genk,gent,2,2,2023-12-03,Belgian Pro League
mechelen,st truiden,0,2,2023-12-03,Belgian Pro League
club brugge,standard,2,0,2023-12-03,Belgian Pro League
st. gilloise,cercle brugge,2,1,2023-12-03,Belgian Pro League
kortrijk,westerlo,1,2,2023-12-08,Belgian Pro League
cercle brugge,antwerp,1,3,2023-12-09,Belgian Pro League
st truiden,oud-heverlee leuven,1,1,2023-12-09,Belgian Pro League
gent,rwd molenbeek,4,0,2023-12-09,Belgian Pro League
mechelen,club brugge,0,0,2023-12-10,Belgian Pro League
eupen,genk,1,3,2023-12-10,Belgian Pro League
anderlecht,standard,2,2,2023-12-10,Belgian Pro League
charleroi,st. gilloise,1,3,2023-12-10,Belgian Pro League
westerlo,eupen,2,0,2023-12-15,Belgian Pro League
oud-heverlee leuven,cercle brugge,1,2,2023-12-16,Belgian Pro League
rwd molenbeek,st truiden,3,0,2023-12-16,Belgian Pro League
standard,charleroi,0,0,2023-12-16,Belgian Pro League
club brugge,gent,2,0,2023-12-17,Belgian Pro League
st. gilloise,mechelen,1,0,2023-12-17,Belgian Pro League
antwerp,anderlecht,1,1,2023-12-17,Belgian Pro League
genk,kortrijk,4,0,2023-12-17,Belgian Pro League
cercle brugge,kortrijk,3,0,2023-12-20,Belgian Pro League
mechelen,standard,3,0,2023-12-20,Belgian Pro League
gent,oud-heverlee leuven,4,0,2023-12-21,Belgian Pro League
rwd molenbeek,club brugge,1,6,2023-12-22,Belgian Pro League
eupen,st. gilloise,1,2,2023-12-23,Belgian Pro League
antwerp,westerlo,2,2,2023-12-23,Belgian Pro League
st truiden,charleroi,1,0,2023-12-23,Belgian Pro League
anderlecht,genk,2,1,2023-12-23,Belgian Pro League
genk,antwerp,3,0,2023-12-26,Belgian Pro League
kortrijk,gent,0,2,2023-12-26,Belgian Pro League
oud-heverlee leuven,eupen,3,0,2023-12-26,Belgian Pro League
westerlo,rwd molenbeek,3,0,2023-12-26,Belgian Pro League
club brugge,st. gilloise,1,1,2023-12-26,Belgian Pro League
standard,st truiden,1,1,2023-12-27,Belgian Pro League
anderlecht,cercle brugge,2,0,2023-12-27,Belgian Pro League
charleroi,mechelen,3,1,2023-12-27,Belgian Pro League
gent,mechelen,1,2,2024-01-19,Belgian Pro League
genk,cercle brugge,1,1,2024-01-20,Belgian Pro League
standard,kortrijk,0,1,2024-01-20,Belgian Pro League
club brugge,westerlo,3,0,2024-01-20,Belgian Pro League
antwerp,charleroi,4,1,2024-01-21,Belgian Pro League
st. gilloise,st truiden,2,1,2024-01-21,Belgian Pro League
oud-heverlee leuven,anderlecht,1,1,2024-01-21,Belgian Pro League
rwd molenbeek,eupen,0,1,2024-01-24,Belgian Pro League
cercle brugge,standard,1,1,2024-01-26,Belgian Pro League
kortrijk,oud-heverlee leuven,0,0,2024-01-27,Belgian Pro League
charleroi,club brugge,1,4,2024-01-27,Belgian Pro League
gent,westerlo,2,2,2024-01-27,Belgian Pro League
st truiden,genk,1,1,2024-01-28,Belgian Pro League
eupen,antwerp,1,0,2024-01-28,Belgian Pro League
anderlecht,st. gilloise,2,2,2024-01-28,Belgian Pro League
mechelen,rwd molenbeek,3,1,2024-01-28,Belgian Pro League
club brugge,kortrijk,3,3,2024-01-30,Belgian Pro League
westerlo,cercle brugge,4,2,2024-01-30,Belgian Pro League
charleroi,eupen,1,0,2024-01-31,Belgian Pro League
oud-heverlee leuven,genk,2,1,2024-01-31,Belgian Pro League
st. gilloise,rwd molenbeek,3,2,2024-01-31,Belgian Pro League
standard,antwerp,0,1,2024-01-31,Belgian Pro League
mechelen,anderlecht,2,2,2024-02-01,Belgian Pro League
st truiden,gent,4,1,2024-02-01,Belgian Pro League
rwd molenbeek,standard,2,2,2024-02-03,Belgian Pro League
kortrijk,charleroi,1,0,2024-02-03,Belgian Pro League
westerlo,oud-heverlee leuven,0,3,2024-02-03,Belgian Pro League
genk,st. gilloise,0,1,2024-02-03,Belgian Pro League
antwerp,club brugge,2,1,2024-02-04,Belgian Pro League
eupen,mechelen,0,1,2024-02-04,Belgian Pro League
anderlecht,gent,1,0,2024-02-04,Belgian Pro League
cercle brugge,st truiden,4,1,2024-02-04,Belgian Pro League
st truiden,kortrijk,1,0,2024-02-09,Belgian Pro League
standard,oud-heverlee leuven,1,0,2024-02-10,Belgian Pro League
st. gilloise,westerlo,2,2,2024-02-10,Belgian Pro League
club brugge,eupen,4,0,2024-02-10,Belgian Pro League
rwd molenbeek,antwerp,0,4,2024-02-11,Belgian Pro League
mechelen,genk,1,1,2024-02-11,Belgian Pro League
charleroi,anderlecht,1,3,2024-02-11,Belgian Pro League
gent,cercle brugge,1,2,2024-02-11,Belgian Pro League
westerlo,standard,2,1,2024-02-16,Belgian Pro League
genk,rwd molenbeek,3,1,2024-02-17,Belgian Pro League
oud-heverlee leuven,charleroi,0,0,2024-02-17,Belgian Pro League
antwerp,mechelen,0,1,2024-02-17,Belgian Pro League
cercle brugge,club brugge,1,1,2024-02-18,Belgian Pro League
kortrijk,st. gilloise,1,3,2024-02-18,Belgian Pro League
anderlecht,st truiden,4,1,2024-02-18,Belgian Pro League
eupen,gent,0,2,2024-02-18,Belgian Pro League
charleroi,genk,0,1,2024-02-23,Belgian Pro League
rwd molenbeek,oud-heverlee leuven,1,1,2024-02-24,Belgian Pro League
st truiden,westerlo,1,0,2024-02-24,Belgian Pro League
mechelen,kortrijk,3,0,2024-02-24,Belgian Pro League
club brugge,anderlecht,1,2,2024-02-25,Belgian Pro League
gent,antwerp,2,2,2024-02-25,Belgian Pro League
st. gilloise,standard,2,1,2024-02-25,Belgian Pro League
eupen,cercle brugge,0,2,2024-02-25,Belgian Pro League
westerlo,charleroi,0,1,2024-03-01,Belgian Pro League
cercle brugge,mechelen,2,3,2024-03-02,Belgian Pro League
oud-heverlee leuven,st. gilloise,0,2,2024-03-02,Belgian Pro League
standard,gent,4,2,2024-03-02,Belgian Pro League
genk,club brugge,0,3,2024-03-03,Belgian Pro League
antwerp,st truiden,3,0,2024-03-03,Belgian Pro League
anderlecht,eupen,1,0,2024-03-03,Belgian Pro League
kortrijk,rwd molenbeek,3,2,2024-03-03,Belgian Pro League
mechelen,westerlo,3,1,2024-03-08,Belgian Pro League
kortrijk,antwerp,0,1,2024-03-09,Belgian Pro League
charleroi,cercle brugge,0,0,2024-03-09,Belgian Pro League
rwd molenbeek,anderlecht,0,3,2024-03-09,Belgian Pro League
genk,standard,1,0,2024-03-10,Belgian Pro League
club brugge,oud-heverlee leuven,3,1,2024-03-10,Belgian Pro League
st. gilloise,gent,1,1,2024-03-10,Belgian Pro League
eupen,st truiden,1,0,2024-03-10,Belgian Pro League
standard,eupen,4,0,2024-03-16,Belgian Pro League
anderlecht,kortrijk,0,1,2024-03-16,Belgian Pro League
st truiden,club brugge,2,1,2024-03-17,Belgian Pro League
antwerp,st. gilloise,1,1,2024-03-17,Belgian Pro League
cercle brugge,rwd molenbeek,4,0,2024-03-17,Belgian Pro League
gent,charleroi,5,0,2024-03-17,Belgian Pro League
oud-heverlee leuven,mechelen,1,0,2024-03-17,Belgian Pro League
westerlo,genk,1,1,2024-03-17,Belgian Pro League
gent,standard,5,1,2024-03-29,Belgian Pro League
oud-heverlee leuven,mechelen,2,3,2024-03-30,Belgian Pro League
anderlecht,antwerp,1,0,2024-03-30,Belgian Pro League
st truiden,westerlo,2,0,2024-03-31,Belgian Pro League
cercle brugge,club brugge,1,1,2024-04-01,Belgian Pro League
genk,st. gilloise,1,0,2024-04-01,Belgian Pro League
mechelen,st truiden,2,3,2024-04-05,Belgian Pro League
charleroi,rwd molenbeek,0,0,2024-04-06,Belgian Pro League
standard,oud-heverlee leuven,0,0,2024-04-06,Belgian Pro League
antwerp,genk,0,1,2024-04-06,Belgian Pro League
st. gilloise,cercle brugge,2,3,2024-04-07,Belgian Pro League
eupen,kortrijk,1,1,2024-04-07,Belgian Pro League
club brugge,anderlecht,3,1,2024-04-07,Belgian Pro League
westerlo,gent,0,3,2024-04-07,Belgian Pro League
st truiden,standard,3,3,2024-04-12,Belgian Pro League
rwd molenbeek,eupen,3,1,2024-04-13,Belgian Pro League
mechelen,westerlo,3,2,2024-04-13,Belgian Pro League
genk,cercle brugge,1,1,2024-04-13,Belgian Pro League
club brugge,antwerp,3,0,2024-04-14,Belgian Pro League
kortrijk,charleroi,1,2,2024-04-14,Belgian Pro League
anderlecht,st. gilloise,2,1,2024-04-14,Belgian Pro League
oud-heverlee leuven,gent,2,1,2024-04-14,Belgian Pro League
oud-heverlee leuven,st truiden,1,0,2024-04-20,Belgian Pro League
westerlo,standard,3,3,2024-04-20,Belgian Pro League
gent,mechelen,3,1,2024-04-20,Belgian Pro League
genk,anderlecht,2,1,2024-04-20,Belgian Pro League
cercle brugge,antwerp,0,1,2024-04-21,Belgian Pro League
kortrijk,rwd molenbeek,2,4,2024-04-21,Belgian Pro League
st. gilloise,club brugge,1,2,2024-04-21,Belgian Pro League
charleroi,eupen,1,0,2024-04-21,Belgian Pro League
st truiden,gent,0,2,2024-04-23,Belgian Pro League
standard,mechelen,0,0,2024-04-23,Belgian Pro League
westerlo,oud-heverlee leuven,1,1,2024-04-23,Belgian Pro League
anderlecht,cercle brugge,3,0,2024-04-24,Belgian Pro League
club brugge,genk,4,0,2024-04-24,Belgian Pro League
antwerp,st. gilloise,0,3,2024-04-25,Belgian Pro League
eupen,charleroi,1,2,2024-04-26,Belgian Pro League
mechelen,oud-heverlee leuven,3,0,2024-04-27,Belgian Pro League
standard,st truiden,1,1,2024-04-27,Belgian Pro League
gent,westerlo,3,2,2024-04-27,Belgian Pro League
genk,club brugge,0,3,2024-04-28,Belgian Pro League
cercle brugge,anderlecht,1,1,2024-04-28,Belgian Pro League
st. gilloise,antwerp,4,1,2024-04-28,Belgian Pro League
rwd molenbeek,kortrijk,0,1,2024-04-28,Belgian Pro League
westerlo,st truiden,2,2,2024-05-03,Belgian Pro League
rwd molenbeek,charleroi,1,3,2024-05-04,Belgian Pro League
mechelen,gent,2,4,2024-05-04,Belgian Pro League
cercle brugge,genk,4,1,2024-05-04,Belgian Pro League
antwerp,club brugge,1,2,2024-05-05,Belgian Pro League
oud-heverlee leuven,standard,3,1,2024-05-05,Belgian Pro League
st. gilloise,anderlecht,0,0,2024-05-05,Belgian Pro League
kortrijk,eupen,1,0,2024-05-05,Belgian Pro League
charleroi,kortrijk,3,1,2024-05-11,Belgian Pro League
eupen,rwd molenbeek,2,0,2024-05-11,Belgian Pro League
anderlecht,genk,2,1,2024-05-11,Belgian Pro League
gent,oud-heverlee leuven,0,1,2024-05-12,Belgian Pro League
st truiden,mechelen,2,1,2024-05-12,Belgian Pro League
antwerp,cercle brugge,1,2,2024-05-12,Belgian Pro League
club brugge,st. gilloise,2,2,2024-05-13,Belgian Pro League
st truiden,oud-heverlee leuven,1,1,2024-05-17,Belgian Pro League
westerlo,mechelen,0,2,2024-05-18,Belgian Pro League
standard,gent,1,4,2024-05-18,Belgian Pro League
cercle brugge,st. gilloise,1,2,2024-05-19,Belgian Pro League
anderlecht,club brugge,0,1,2024-05-19,Belgian Pro League
genk,antwerp,1,0,2024-05-20,Belgian Pro League
gent,st truiden,2,0,2024-05-25,Belgian Pro League
mechelen,standard,3,2,2024-05-25,Belgian Pro League
oud-heverlee leuven,westerlo,1,2,2024-05-25,Belgian Pro League
antwerp,anderlecht,3,1,2024-05-26,Belgian Pro League
club brugge,cercle brugge,0,0,2024-05-26,Belgian Pro League
st. gilloise,genk,2,0,2024-05-26,Belgian Pro League
genk,gent,0,1,2024-06-02,Belgian Pro League
america,cruz azul,3,0,2023-01-31,Liga MX
america,tigres,0,3,2023-03-15,Liga MX
america,monterrey,2,3,2022-08-18,Liga MX
america,chivas,1,0,2023-01-04,Liga MX
america,pumas,1,1,2022-08-24,Liga MX
america,toluca,4,0,2022-09-27,Liga MX
america,santos,2,0,2022-09-30,Liga MX
america,pachuca,1,1,2023-01-22,Liga MX
america,leon,1,1,2022-08-23,Liga MX
america,atlas,1,4,2023-03-28,Liga MX
america,necaxa,0,0,2023-01-06,Liga MX
america,tijuana,1,0,2022-08-22,Liga MX
america,queretaro,3,0,2022-09-03,Liga MX
america,puebla,0,0,2022-11-06,Liga MX
america,mazatlan,0,0,2022-11-16,Liga MX
america,san luis,0,2,2023-02-16,Liga MX
america,juarez,3,0,2022-08-31,Liga MX
america,atlante,1,2,2022-10-09,Liga MX
cruz azul,america,3,0,2023-04-09,Liga MX
cruz azul,tigres,1,0,2022-12-26,Liga MX
cruz azul,monterrey,0,1,2022-10-04,Liga MX
cruz azul,chivas,1,1,2022-07-29,Liga MX
cruz azul,pumas,0,0,2023-01-03,Liga MX
cruz azul,toluca,3,0,2023-04-10,Liga MX
cruz azul,santos,1,2,2023-02-16,Liga MX
cruz azul,pachuca,1,1,2023-02-18,Liga MX
